id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
8060|Cazeaux|Dominique, Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8060|12|12|1835|1|9|1909
1567|Ceccaldi|Dominique, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1567|2|2|1833|8|7|1897
1577|Cernesson|Léopold, Camille|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1577|28|1|1831|18|6|1889
1604|Chaix|Cyprien, Bernard|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1604|11|11|1821|20|7|1899
1616|Chamberland|Charles, Edouard|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1616|12|3|1851|2|5|1908
1641|Chanson|Antoine|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1641|5|7|1838|9|5|1915
7918|Chantagrel|Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7918|14|4|1822|21|4|1907
1673|Charonnat|Jean-Baptiste, Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1673|4|11|1834|6|2|1911
7920|Chavanne|Alexis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7920|11|10|1824|3|3|1911
1744|Chavoix|Henri, Jean, Georges, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1744|28|1|1844|28|3|1928
14482|Chépié|Jean-Baptiste, Jacques|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/14482|5|2|1835|1|1|1909
7922|Chevalier|Ernest, Amand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7922|14|7|1820|5|12|1887
7921|Chevalier|Charles, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7921|17|5|1844|7|5|1916
1779|Chevandier|Antoine-Daniel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1779|27|5|1822|9|1|1893
1783|Chevillon|Joseph, Marie, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1783|21|3|1849|29|4|1910
