id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
1883|Coget|Jean-Baptiste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1883|19|6|1829|18|7|1913
1933|Compayré|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1933|21|3|1851|7|11|1922
1947|Constant|Jean, Louis, dit Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1947|20|7|1861|4|12|1950
1969|Cornet|Lucien|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1969|1|3|1865|26|6|1922
1978|Cornudet des Chaumettes|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1978|19|2|1855|2|9|1921
1987|Cosmao-Dumenez|Sélim|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1987|29|2|1840|6|4|1909
1995|Cot|Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1995|1|7|1845|1|3|1906
2002|Couchard|Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2002|19|7|1848|7|4|1911
2011|Coudreuse|Julien|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2011|26|2|1837|27|11|1898
2039|Cousin|Elie, Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2039|31|7|1847|6|12|1934
2048|Coutant dit Coutant-d'Ivry|Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2048|21|5|1854|30|7|1913
2053|Couturier|Valentin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2053|2|5|1829|18|2|1902
2057|Couyba|Charles, Maurice dit Maurice|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2057|1|1|1866|18|11|1931
2063|Crémieux|Fernand, Josué|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2063|15|12|1857|26|11|1928
2076|Cros-Bonnel|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2076|10|5|1855|5|4|1925
2085|Cuissart|Philippe, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2085|24|9|1835|14|12|1896
5612|Cunéo d'Ornano|Gustave|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5612|15|11|1845|17|5|1906
52|d'Aillières|François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/52|15|10|1817|15|4|1906
103|d'Alsace d'Hénin|Thierry, Arno, Laurent, Baudouin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/103|5|7|1853|24|2|1934
187|d'Arenberg|Auguste, Louis, Albéric|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/187|15|9|1837|24|1|1924
2856|d'Estournelles de Constant|Paul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2856|22|11|1852|15|5|1924
3900|d'Hugues|Paul-Antonin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3900|12|9|1859|||
2823|Daliney d'Elva|Christian, Marie, Alphonse|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2823|21|9|1850|5|3|1925
2127|Dansette|Jules, Auguste, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2127|17|9|1857|30|3|1917
2134|Darlan|Jean-Baptiste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2134|10|6|1848|8|12|1912
2166|Dauzon|Philippe, Jean, Michel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2166|1|7|1860|25|10|1918
2169|David|Alban, Bernard|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2169|19|10|1837|1|7|1905
501|de Baudry d'Asson|Léon, Armand, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/501|15|6|1836|12|5|1915
541|de Beauregard|Georges|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/541|19|2|1854|22|1|1919
704|de Berne-Lagarde|Auguste, Marie, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/704|15|11|1850|7|1|1931
915|de Boissy d'Anglas|François, Antoine|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/915|19|2|1846|21|1|1921
1251|de Broglie|Louis, Alphonse, Victor|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1251|31|10|1846|26|7|1906
1564|de Cazenove de Pradines|Edouard, Pierre, Michel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1564|31|12|1838|13|7|1896
1890|de Colbert-Laplace|Jean, Pierre, Louis, Jean-Baptiste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1890|6|7|1843|9|10|1917
2577|de Douville-Maillefeu|Gaston|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2577|6|7|1835|29|1|1895
3039|de Folleville de Bimorel|Daniel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3039|5|1|1842|12|6|1916
4125|de Kergariou|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4125|8|10|1846|21|3|1897
4166|de l'Estourbeillon|Régis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4166|10|2|1858|4|9|1946
4172|de La Bourdonnaye|Marie, Ferdinand, Raoul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4172|12|5|1837|3|2|1911
4903|de la Jumellière de Maillé|Armand, Urbain, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4903|1|7|1816|9|6|1903
4182|de La Noue|Charles-Adolphe|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4182|6|3|1843|13|7|1908
4183|de La Porte|Amédée|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4183|20|6|1848|10|6|1900
4171|de Laborie de La Batut|Charles-Ferdinand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4171|9|5|1854|11|3|1933
4236|de Lacretelle|Pierre, Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4236|21|7|1815|17|2|1899
4339|de Lanjuinais|Paul-Henry|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4339|24|7|1834|2|2|1916
4387|de Lasteyrie du Saillant|Robert, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4387|15|11|1849|29|1|1921
7587|de Le Gonidec de Traissan|Olivier|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7587|24|2|1839|18|1|1912
7833|de Lévis-Mirepoix|Félix|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7833|1|5|1846|1|4|1928
4868|de Mackau|Frédéric, Armand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4868|29|11|1832|6|5|1918
4897|de Mahy|François, Césaire|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4897|22|7|1830|19|11|1906
5367|de Montalembert|Geoffroy|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5367|16|12|1850|16|10|1926
5384|de Montfort|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5384|3|2|1840|10|10|1911
5463|de Moustier|René|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5463|16|2|1850|21|7|1935
5482|de Mun|Albert|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5482|28|2|1841|6|10|1914
6593|de Ramel|Fernand, Augustin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/6593|27|3|1847|25|12|1915
